condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
short,go,peak,0,0,0,14,,,,,18.8096725998912,None,30.938318599946797,31.638549499912187,None,30.938318599946797,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,napkin,0,1,1,12,,,,,,,33.506659500068054,34.207446600077674,None,33.506659500068054,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,wolrd,0,2,2,45,,,,,,,36.22939980006777,None,space,36.22939980006777,None,0.6052554999478161,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,beleif,0,3,3,26,,,,,,,37.87912809988484,None,space,37.87912809988484,None,0.6552421001251787,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,expret,0,4,4,34,,,,,,,39.56222669989802,40.26296459999867,None,39.56222669989802,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,donkey,0,5,5,19,,,,,,,42.265338599914685,42.9657401998993,None,42.265338599914685,41.27155670011416,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,muoth,0,6,6,43,,,,,,,44.98472830001265,None,space,44.98472830001265,43.98325160006061,0.541648400016129,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,ouftit,0,7,7,41,,,,,,,46.553361099911854,47.254136099945754,space,46.553361099911854,None,1.2240546001121402,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,decay,0,8,8,4,,,,,,,48.805830700090155,49.50633469992317,None,48.805830700090155,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,obiect,0,9,9,27,,,,,,,51.492059000069275,None,space,51.492059000069275,50.513492200057954,0.5992902000434697,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,horror,0,10,10,15,,,,,,,53.11066080001183,53.811092199990526,None,53.11066080001183,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,crown,0,11,11,21,,,,,,,55.813451800029725,56.51409829990007,None,55.813451800029725,54.82070149993524,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,jaens,0,12,12,37,,,,,,,58.516568100079894,None,space,58.516568100079894,57.52900419989601,0.4867348000407219,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,touch,0,13,13,18,,,,,,,60.03481559990905,60.7354923998937,None,60.03481559990905,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,memory,0,14,14,2,,,,,,,62.737822599941865,63.438585200114176,None,62.737822599941865,61.741104800021276,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,widnow,0,15,15,35,,,,,,,65.44091699994169,None,space,65.44091699994169,64.44767190003768,0.5392459998838603,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,elf,0,16,16,11,,,,,,,67.00911740004085,67.70995469996706,None,67.00911740004085,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,paerl,0,17,17,29,,,,,,,69.71209140005521,None,space,69.71209140005521,68.71495039993897,0.48808409995399415,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,accent,0,18,18,0,,,,,,,71.23048979998566,71.93127020006068,None,71.23048979998566,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,quake,0,19,19,3,,,,,,,73.93353680009022,74.63440810004249,None,73.93353680009022,72.94621039996855,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,sister,0,20,20,10,,,,,,,76.63654140010476,77.33727780007757,None,76.63654140010476,75.64047589991242,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,land,0,21,21,23,,,,,,,79.33954069996253,80.0401075000409,None,79.33954069996253,78.3436636000406,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,scale,0,22,22,8,,,,,,,82.04251760011539,82.7430567999836,None,82.04251760011539,81.04550849995576,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,affiar,0,23,23,25,,,,,,,84.74531519995071,None,space,84.74531519995071,83.74816179997288,0.6641379999928176,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,review,0,24,24,13,,,,,,,86.44738489994779,87.14816939993761,None,86.44738489994779,None,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,go,pilgrim,0,25,25,24,,,,,,,89.15034909988753,89.85094660008326,None,89.15034909988753,88.16088990005665,,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,hasmter,0,26,26,48,,,,,,,91.85322630009614,None,space,91.85322630009614,90.8602446001023,0.6380036000628024,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
short,no-go,mililon,0,27,27,40,,,,,,,93.50501760002226,None,space,93.50501760002226,None,0.6713272000197321,2,001,2021_Dec_01_1428,experiment,2021.2.3,59.93252793468025,
