condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
short,no-go,noiton,0,0,0,28,,,,,16.694509799825028,None,28.736355899833143,29.43714359984733,space,0.7494601998478174,28.736355899833143,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,drug,0,1,1,5,,,,,,,30.521683799801394,31.222450299886987,None,,30.521683799801394,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,heant,0,2,2,38,,,,,,,33.22445089998655,None,space,0.5057403000537306,33.22445089998655,32.23525369982235,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,dentist,0,3,3,16,,,,,,,34.75971999997273,35.460278399987146,None,,34.75971999997273,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,ouftit,0,4,4,41,,,,,,,37.462406100006774,38.16317229997367,space,0.9504994000308216,37.462406100006774,36.47032730001956,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,decay,0,5,5,4,,,,,,,39.43155729980208,40.13205739995465,None,,39.43155729980208,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,land,0,6,6,23,,,,,,,42.13439639983699,None,space,0.4650695000309497,42.13439639983699,41.1413004999049,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,card,0,7,7,20,,,,,,,43.61932890000753,44.32025749981403,None,,43.61932890000753,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,bottom,0,8,8,7,,,,,,,46.322372399969026,47.02299959980883,None,,46.322372399969026,45.33389989985153,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,review,0,9,9,13,,,,,,,49.042133199982345,49.74257289990783,None,,49.042133199982345,48.0412835997995,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,accent,0,10,10,0,,,,,,,51.74501479999162,52.4456650998909,None,,51.74501479999162,50.747668299824,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,yahct,0,11,11,31,,,,,,,54.43148799985647,None,space,0.5077649999875575,54.43148799985647,53.45225729979575,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,horror,0,12,12,15,,,,,,,55.949731699889526,56.65046039992012,None,,55.949731699889526,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,scale,0,13,13,8,,,,,,,58.65275219990872,59.35344420000911,None,,58.65275219990872,57.652683099964634,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,oirgin,0,14,14,39,,,,,,,61.35571919986978,None,space,0.5470527999568731,61.35571919986978,60.3566758998204,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,crown,0,15,15,21,,,,,,,62.92412679991685,63.62451240001246,None,,62.92412679991685,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,parent,0,16,16,6,,,,,,,65.62695649988018,66.32769159995951,None,,65.62695649988018,64.63629859988578,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,fruit,0,17,17,1,,,,,,,68.33014440000989,69.03067979984917,None,,68.33014440000989,67.33312219986692,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,cemal,0,18,18,47,,,,,,,71.03295739996247,None,space,0.5794071001000702,71.03295739996247,70.03579029999673,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,beleif,0,19,19,26,,,,,,,72.63472540001385,73.33515960001387,space,0.9816856000106782,72.63472540001385,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,elf,0,20,20,11,,,,,,,74.63702659984119,75.33772979979403,None,,74.63702659984119,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,widnow,0,21,21,35,,,,,,,77.33988819993101,None,space,0.639017199864611,77.33988819993101,76.3426552999299,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,sesnor,0,22,22,32,,,,,,,78.9915139998775,None,space,0.6437823998276144,78.9915139998775,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,pilgrim,0,23,23,24,,,,,,,80.66035419981927,81.36109149991535,space,0.8002776000648737,80.66035419981927,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,no-go,mililon,0,24,24,40,,,,,,,82.47881089989096,83.17954859999008,space,0.7143262999597937,82.47881089989096,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
short,go,beach,0,25,25,9,,,,,,,84.21414789999835,84.91478489991277,None,,84.21414789999835,None,7,001,2021_Dec_01_1518,experiment,2021.2.3,59.935006430684425,
