condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
short,no-go,cemal,0,0,0,47,,,,,15.862287800060585,None,27.90513430000283,28.60589270014316,None,27.90513430000283,None,,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,go,horror,0,1,1,15,,,,,,,30.54362510005012,31.25865350011736,None,30.54362510005012,None,,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,no-go,legnth,0,2,2,36,,,,,,,33.24436590005644,33.94513030000962,space,33.24436590005644,None,0.8791586998850107,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,go,land,0,3,3,23,,,,,,,35.146548400167376,35.84727150015533,None,35.146548400167376,None,,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,go,parent,0,4,4,6,,,,,,,37.84940850012936,None,space,37.84940850012936,36.85609080013819,0.6503783001098782,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,no-go,heant,0,5,5,38,,,,,,,39.517995700007305,40.21866410016082,space,39.517995700007305,None,0.8732569001149386,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,no-go,obiect,0,6,6,27,,,,,,,41.42000610008836,42.120658100117,space,41.42000610008836,None,0.7069097999483347,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,no-go,abverb,0,7,7,46,,,,,,,43.15539159998298,43.855916399974376,space,43.15539159998298,None,1.0521404999308288,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,go,card,0,8,8,20,,,,,,,45.224307500058785,45.92503960011527,None,45.224307500058785,None,,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,no-go,kindey,0,9,9,49,,,,,,,47.9272607001476,48.62778630014509,space,47.9272607001476,46.935492699965835,1.478179399855435,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,no-go,rythm,0,10,10,42,,,,,,,50.41322410013527,51.113963400013745,space,50.41322410013527,None,1.0742538999766111,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,no-go,yahct,0,11,11,31,,,,,,,52.51551549998112,53.216412500012666,space,52.51551549998112,None,0.8424612001981586,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,go,scale,0,12,12,8,,,,,,,54.38439550017938,55.08505230001174,None,54.38439550017938,None,,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,go,donkey,0,13,13,19,,,,,,,57.08714930014685,57.787776899989694,None,57.08714930014685,56.08978070016019,,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
short,no-go,muoth,0,14,14,43,,,,,,,59.790357999969274,None,space,59.790357999969274,58.798189599998295,0.5580525000113994,6,001,2021_Dec_01_1500,experiment,2021.2.3,59.88726821242409,
