condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
short,go,quake,0,0,0,3,,,,,22.299654700094834,None,34.33887719991617,35.03959430009127,None,34.33887719991617,None,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,noiton,0,1,1,28,,,,,,,36.97544559999369,37.676075499970466,space,36.97544559999369,None,0.7402699000667781,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,heant,0,2,2,38,,,,,,,38.74390199990012,None,space,38.74390199990012,None,0.5680716999340802,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,expret,0,3,3,34,,,,,,,40.34565500007011,41.04643339989707,space,40.34565500007011,None,0.770487800007686,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,horror,0,4,4,15,,,,,,,42.14771099993959,42.84848059993237,None,42.14771099993959,None,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,card,0,5,5,20,,,,,,,44.850618300028145,None,space,44.850618300028145,43.86165370000526,0.6182232999708503,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,fruit,0,6,6,1,,,,,,,46.48584259999916,47.18641599989496,None,46.48584259999916,None,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,dagner,0,7,7,33,,,,,,,49.188773799920455,None,space,49.188773799920455,48.196102699963376,0.6079470999538898,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,rythm,0,8,8,42,,,,,,,50.84055719990283,None,space,50.84055719990283,None,0.515000999905169,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,elf,0,9,9,11,,,,,,,52.375660199904814,53.07634350005537,None,52.375660199904814,None,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,review,0,10,10,13,,,,,,,55.07851659995504,None,space,55.07851659995504,54.09265709994361,0.5846289999317378,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,oirgin,0,11,11,39,,,,,,,56.680306599941105,57.381098499987274,None,56.680306599941105,None,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,hasmter,0,12,12,48,,,,,,,59.38322709989734,None,space,59.38322709989734,58.39242730010301,0.5084469998255372,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,peak,0,13,13,14,,,,,,,60.91837610001676,61.61898049991578,None,60.91837610001676,None,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,donkey,0,14,14,19,,,,,,,63.62125919992104,None,space,63.62125919992104,62.624433499993756,0.5848079000134021,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,paerl,0,15,15,29,,,,,,,65.2230895999819,None,space,65.2230895999819,None,0.6366421000566334,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,scale,0,16,16,8,,,,,,,66.89157469989732,67.59232229995541,None,66.89157469989732,None,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,no-go,imapct,0,17,17,44,,,,,,,69.57782749994658,None,space,69.57782749994658,68.59991450002417,0.5821525000501424,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,parent,0,18,18,6,,,,,,,71.179701999994,71.8805084999185,None,71.179701999994,None,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
short,go,fight,0,19,19,22,,,,,,,73.88248490006663,74.58328430005349,None,73.88248490006663,72.88621190004051,,4,001,2021_Dec_01_1449,experiment,2021.2.3,59.903878244266025,
