condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
short,go,napkin,0,0,0,12,,,,,15.52173799998127,None,27.5758284998592,28.276431899983436,None,27.5758284998592,None,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,fruit,0,1,1,1,,,,,,,30.21184999984689,30.912560099968687,None,30.21184999984689,None,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,no-go,blause,0,2,2,30,,,,,,,32.93168479995802,33.63234580005519,None,32.93168479995802,None,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,peak,0,3,3,14,,,,,,,35.60121149988845,36.30159360007383,None,35.60121149988845,None,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,elf,0,4,4,11,,,,,,,38.3040584998671,39.00494899996556,None,38.3040584998671,None,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,bottom,0,5,5,7,,,,,,,41.00714459992014,41.70776979997754,None,41.00714459992014,None,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,no-go,yahct,0,6,6,31,,,,,,,43.726602899841964,44.42761650006287,space,43.726602899841964,None,0.8088763002306223,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,fight,0,7,7,22,,,,,,,45.56206519994885,46.26276000007056,None,45.56206519994885,None,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,memory,0,8,8,2,,,,,,,48.265285699861124,48.9660252998583,None,48.265285699861124,47.26714979996905,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,sister,0,9,9,10,,,,,,,50.96811209991574,51.66884829988703,None,50.96811209991574,49.97056719986722,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,horror,0,10,10,15,,,,,,,53.671137699857354,54.37156290002167,None,53.671137699857354,52.6753141998779,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,no-go,ouftit,0,11,11,41,,,,,,,56.3740902999416,57.07493790006265,space,56.3740902999416,55.37810299987905,1.1122541001532227,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,drug,0,12,12,5,,,,,,,58.50993329985067,59.21067030006088,None,58.50993329985067,None,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
short,go,touch,0,13,13,18,,,,,,,61.212891299976036,61.91350320004858,None,61.212891299976036,60.21975170006044,,5,001,2021_Dec_01_1455,experiment,2021.2.3,59.94391649130007,
