condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
short,go,donkey,0,0,0,19,,,,,17.442288199905306,None,29.5119560000021,30.21265590004623,None,29.5119560000021,None,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,muoth,0,1,1,43,,,,,,,32.14821149990894,None,space,32.14821149990894,None,0.5964951000642031,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,fight,0,2,2,22,,,,,,,33.76672769989818,34.46714790002443,None,33.76672769989818,None,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,affiar,0,3,3,25,,,,,,,36.469535500044,None,space,36.469535500044,35.47952160006389,0.6162622000556439,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,imapct,0,4,4,44,,,,,,,38.12136480002664,None,space,38.12136480002664,None,0.5817109998315573,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,rythm,0,5,5,42,,,,,,,39.72303480003029,40.423969599884,space,39.72303480003029,None,0.8592022999655455,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,oirgin,0,6,6,39,,,,,,,41.60860919998959,42.30916230008006,space,41.60860919998959,None,0.9561433000490069,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,clinic,0,7,7,17,,,,,,,43.5941570000723,44.2947259999346,None,43.5941570000723,None,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,sister,0,8,8,10,,,,,,,46.297124000033364,46.99790409998968,None,46.297124000033364,45.305699799908325,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,decay,0,9,9,4,,,,,,,48.99990279995836,49.70056420005858,None,48.99990279995836,48.00453269993886,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,beach,0,10,10,9,,,,,,,51.702964999945834,52.40385270002298,None,51.702964999945834,50.71287769987248,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,pilgrim,0,11,11,24,,,,,,,54.40593890007585,55.10679089999758,None,54.40593890007585,53.4123623999767,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,elf,0,12,12,11,,,,,,,57.109006100101396,57.809738900046796,None,57.109006100101396,56.112581100082025,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,horror,0,13,13,15,,,,,,,59.79537199996412,60.49608989991248,None,59.79537199996412,58.8170594999101,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,abverb,0,14,14,46,,,,,,,62.49835220002569,63.19900649995543,None,62.49835220002569,61.5111801000312,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,land,0,15,15,23,,,,,,,65.18449059990235,65.88538230000995,None,65.18449059990235,64.20642699999735,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,fruit,0,16,16,1,,,,,,,67.88764390000142,68.58835159987211,None,67.88764390000142,66.89380170009099,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,bottom,0,17,17,7,,,,,,,70.57382700010203,71.27474060002714,None,70.57382700010203,69.59574860008433,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,dentist,0,18,18,16,,,,,,,73.2767958000768,73.97747839987278,None,73.2767958000768,72.2811187999323,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,sesnor,0,19,19,32,,,,,,,75.97979560005479,None,space,75.97979560005479,74.98799959989265,0.6469109000172466,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,review,0,20,20,13,,,,,,,77.64821460004896,78.34879689989612,None,77.64821460004896,None,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,yahct,0,21,21,31,,,,,,,80.35132839996368,None,space,80.35132839996368,79.3557504999917,0.6138072998728603,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,go,memory,0,22,22,2,,,,,,,81.9865373999346,82.68711580010131,None,81.9865373999346,None,,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,ouftit,0,23,23,41,,,,,,,84.68933379999362,85.39014080003835,space,84.68933379999362,83.69566059997305,0.7803910002112389,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
short,no-go,blause,0,24,24,30,,,,,,,86.49137679999694,87.19217519997619,space,86.49137679999694,None,0.6957657998427749,1,001,2021_Dec_01_1422,experiment,2021.2.3,59.90438063875285,
