condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
short,no-go,ouftit,0,28,28,41,,,,,,,86.69055190007202,87.39106700010598,space,0.8384555999655277,86.69055190007202,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,bottom,0,29,29,7,,,,,,,88.55913250008598,89.25994380004704,None,,88.55913250008598,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,jaens,0,30,30,37,,,,,,,91.26225790008903,91.96298980014399,space,0.8740719000343233,91.26225790008903,90.27625890006311,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,expret,0,31,31,34,,,,,,,93.16425990010612,93.86507460009307,space,0.8931938000023365,93.16425990010612,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,muoth,0,32,32,43,,,,,,,95.08327980013564,None,space,0.5492493000347167,95.08327980013564,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,decay,0,33,33,4,,,,,,,96.63487410009839,97.3355185999535,None,,96.63487410009839,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,rythm,0,34,34,42,,,,,,,99.33782390016131,100.03854160010815,None,,99.33782390016131,98.33936700015329,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,clinic,0,35,35,17,,,,,,,102.04071680014022,102.74143499997444,None,,102.04071680014022,101.04283359996043,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,donkey,0,36,36,19,,,,,,,104.7271219000686,105.42777660000138,None,,104.7271219000686,103.74873670004308,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,napkin,0,37,37,12,,,,,,,107.42983030015603,108.13066440005787,None,,107.42983030015603,106.43480110005476,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,legnth,0,38,38,36,,,,,,,110.13284850004129,None,space,0.5813579999376088,110.13284850004129,109.13401650008745,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,blause,0,39,39,30,,,,,,,111.7348105001729,None,space,0.5512999000493437,111.7348105001729,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,card,0,40,40,20,,,,,,,113.30294700013474,114.00389030016959,None,,113.30294700013474,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,horror,0,41,41,15,,,,,,,116.00591690000147,116.70700590009801,None,,116.00591690000147,115.00800579995848,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,elf,0,42,42,11,,,,,,,118.70905960001983,119.40994970011525,None,,118.70905960001983,117.71177910012193,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,obiect,0,43,43,27,,,,,,,121.41224540001713,None,space,0.5692143999040127,121.41224540001713,120.4182557000313,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,beleif,0,44,44,26,,,,,,,123.01388980005868,None,space,0.5932993001770228,123.01388980005868,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,peak,0,45,45,14,,,,,,,124.61568309995346,125.316478200024,None,,124.61568309995346,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,beach,0,46,46,9,,,,,,,127.31844980013557,128.01943590003066,None,,127.31844980013557,126.32222510012798,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,land,0,47,47,23,,,,,,,130.02155150007457,130.72246840014122,None,,130.02155150007457,129.02399890008382,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,abverb,0,48,48,46,,,,,,,132.72451200010255,133.42510710004717,space,0.9037903000134975,132.72451200010255,131.72895080014132,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,quake,0,49,49,3,,,,,,,134.67683020001277,135.3774986001663,None,,134.67683020001277,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,photgoaph,,,,,0,0,0,45,,,137.41295560006984,None,space,0.6613483999390155,137.41295560006984,136.42298469995148,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,vegetable,,,,,0,1,1,7,,,139.09825200005434,139.79908620007336,None,,139.09825200005434,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,government,,,,,0,2,2,9,,,141.80125440005213,142.50169269996695,None,,141.80125440005213,140.8083431001287,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,subtsanse,,,,,0,3,3,38,,,144.48765150015242,None,space,0.567122400039807,144.48765150015242,143.5095069000963,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,hurricane,,,,,0,4,4,3,,,146.07264919998124,146.7733017001301,None,,146.07264919998124,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,structure,,,,,0,5,5,6,,,148.77544390014373,149.47644930006936,None,,148.77544390014373,147.77885950007476,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,terrirost,,,,,0,6,6,39,,,151.47872390015982,152.1794235999696,space,0.9173661000095308,151.47872390015982,150.48569869995117,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,cerfiticate,,,,,0,7,7,43,,,153.43072820012458,154.13143569999374,space,1.0966577001381665,153.43072820012458,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,documneatry,,,,,0,8,8,28,,,155.54996830015443,156.25057270005345,space,0.8554834998212755,155.54996830015443,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,madication,,,,,0,9,9,16,,,157.4354314999655,158.13598700007424,space,0.6888841998297721,157.4354314999655,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,formation,,,,,0,10,10,20,,,159.15393130015582,159.85444300016388,None,,159.15393130015582,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,depatmrent,,,,,0,11,11,49,,,161.8567244000733,162.5574926000554,space,0.9027559999376535,161.8567244000733,160.86151850013994,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,beefstaek,,,,,0,12,12,41,,,163.7753596000839,None,space,0.5835844001267105,163.7753596000839,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,president,,,,,0,13,13,11,,,165.37742190016434,166.07814590004273,None,,165.37742190016434,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,supremakret,,,,,0,14,14,36,,,168.08024569996633,168.78094139997847,space,0.7130050999112427,168.08024569996633,167.0862788001541,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,background,,,,,0,15,15,4,,,169.81545790005475,170.51620980002917,None,,169.81545790005475,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,paragraph,,,,,0,16,16,24,,,172.5185877000913,173.2191769001074,None,,172.5185877000913,171.52245289995335,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,afternoon,,,,,0,17,17,14,,,175.22154469997622,175.92212620005012,None,,175.22154469997622,174.2287171999924,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,precpetion,,,,,0,18,18,27,,,177.92429730016738,None,space,0.5780255999416113,177.92429730016738,176.92975719994865,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,govrnement,,,,,0,19,19,31,,,179.52623239997774,None,space,0.5291244999971241,179.52623239997774,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,statement,,,,,0,20,20,22,,,181.07786100008525,181.77879200014286,None,,181.07786100008525,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,ecletricity,,,,,0,21,21,44,,,183.78093990008347,184.48167380015366,space,0.7071473998948932,183.78093990008347,182.79186949995346,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,auidence,,,,,0,22,22,30,,,185.51621789997444,None,space,0.5250474999193102,185.51621789997444,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,alcholic,,,,,0,23,23,32,,,187.06799759995192,187.7684873000253,space,0.7001370000652969,187.06799759995192,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,ciragette,,,,,0,24,24,33,,,188.7864145000931,None,space,0.6509466001298279,188.7864145000931,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,accommodation,,,,,0,25,25,2,,,190.4550901001785,191.15579980006441,None,,190.4550901001785,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,stereotype,,,,,0,26,26,5,,,193.14111620001495,193.84186230017804,space,0.7543180999346077,193.14111620001495,192.16302280011587,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,advetnure,,,,,0,27,27,25,,,194.92668030015193,195.62732230010442,space,1.2443770000245422,194.92668030015193,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,commentary,,,,,0,28,28,13,,,197.1959319000598,197.89637790014967,None,,197.1959319000598,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,labarotary,,,,,0,29,29,29,,,199.8822552000638,None,space,0.6057468000799417,199.8822552000638,198.90331299998797,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,narrative,,,,,0,30,30,12,,,201.51727559999563,202.2180942001287,None,,201.51727559999563,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,ochrestra,,,,,0,31,31,48,,,204.20360180013813,None,space,0.48610760015435517,204.20360180013813,203.2251887000166,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,persolanity,,,,,0,32,32,35,,,205.7218943000771,206.42247100011446,space,0.7459227000363171,205.7218943000771,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,passenger,,,,,0,33,33,18,,,207.49042980000377,208.19115940015763,None,,207.49042980000377,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,creativity,,,,,0,34,34,0,,,210.1935038000811,210.89416890009306,None,,210.1935038000811,209.19952100003138,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,gilrfreind,,,,,0,35,35,37,,,212.89636350004002,None,space,0.60294030001387,212.89636350004002,211.9038494999986,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,experience,,,,,0,36,36,17,,,214.5314966000151,215.23215640010312,None,,214.5314966000151,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,championship,,,,,0,37,37,15,,,217.23471039999276,None,space,0.6586791998706758,217.23471039999276,216.24115550005808,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,professor,,,,,0,38,38,21,,,218.91981830005534,219.62046440015547,None,,218.91981830005534,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,perfomarnce,,,,,0,39,39,42,,,221.62269390001893,222.3232017001137,space,0.9315619999542832,221.62269390001893,220.6304051000625,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,breafakst,,,,,0,40,40,34,,,223.57478750008158,224.27560749999247,space,0.7241006998810917,223.57478750008158,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,university,,,,,0,41,41,8,,,225.32680670008995,226.02726340014488,None,,225.32680670008995,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,derpession,,,,,0,42,42,47,,,228.01298360014334,None,space,0.5694861998781562,228.01298360014334,227.03540170006454,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,scholarship,,,,,0,43,43,1,,,229.61494420003146,230.31559410016052,None,,229.61494420003146,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,imimgration,,,,,0,44,44,40,,,232.31765420013107,None,space,0.586424799868837,232.31765420013107,231.32091080001555,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,frmaework,,,,,0,45,45,26,,,233.9363514999859,None,space,0.5364578000735492,233.9363514999859,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,addiction,,,,,0,46,46,19,,,235.48800670006312,236.1888374001719,None,,235.48800670006312,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,temperature,,,,,0,47,47,10,,,238.1909191000741,238.89154550014064,None,,238.1909191000741,237.19831979996525,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,no-go,trasntcipt,,,,,0,48,48,46,,,240.8938317000866,None,space,0.6294650000054389,240.8938317000866,239.89901110017672,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
long,go,tournament,,,,,0,49,49,23,,,242.5457703000866,243.2463383001741,None,,242.5457703000866,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
